Nome,Especialização,Contratação,Telefone,Endereço,CPF,Nascimento
Srta. Marcela da Conceição,Medicina do trabalho,04/10/2011,(021) 6017 8956,"Rodovia Rocha, 77
Jardim Alvorada
10261299 Rodrigues / PR",608.965.753-89,12/18/1981
Sr. Noah Gonçalves,Neurologia,05/23/2012,(081) 3262 1042,"Passarela de Lima, 25
Paquetá
45941044 Barbosa / PE",240.158.937-82,05/15/1971
Maria Sophia Melo,Alergia e imunologia,08/01/2017,(011) 4405 6255,"Rodovia Moreira
Conjunto Santa Maria
19816-067 Gomes do Oeste / PA",669.257.666-25,06/28/1996
Sr. Bernardo Monteiro,Alergia e imunologia,03/03/2014,+55 (021) 2782-0590,"Rodovia da Cunha, 42
Marajó
37484-355 Gomes do Amparo / TO",907.467.357-36,07/11/1990
Vitor Hugo Rocha,Medicina do trabalho,08/19/2017,(041) 1031-4069,"Largo Rodrigo Moura, 87
Santa Maria
87970203 Silva / PR",863.102.903-69,02/03/1988
Heloísa Lopes,Medicina do trabalho,06/16/2012,+55 81 8587 8745,"Setor de Nogueira, 437
Bandeirantes
28888683 Barbosa de Costa / PB",955.805.851-26,07/12/1978
Agatha Lima,Radioterapia,02/10/2017,+55 (041) 9396 6917,"Chácara Maria Clara Freitas, 941
Dom Silverio
85675971 Porto / PE",372.858.900-55,01/21/1978
Isis Teixeira,Cirurgia geral,03/01/2017,(051) 6534 5399,"Esplanada Mendes, 491
Tirol
36794-252 Cardoso / RS",644.342.214-10,11/07/1990
Yago Cardoso,Cirurgia geral,06/17/2015,+55 31 2871-7747,"Estação Gomes, 69
São Jorge 2ª Seção
70638480 da Rocha / MT",523.846.261-11,07/18/1985
Thales Aragão,Cirurgia geral,10/14/2016,+55 (041) 7263 3868,"Rodovia Cunha, 94
Trevo
98108024 Farias Grande / DF",495.463.653-56,10/02/1973
Sr. Felipe Lopes,Cardiologia,03/25/2017,+55 71 2114 2521,"Passarela Luiz Henrique Azevedo, 3
Planalto
31817150 Nogueira de Goiás / SC",509.433.873-62,10/20/1994
Vicente Sales,Endoscopia,08/25/2013,(051) 4589 8664,"Distrito de Silva, 59
Universitário
53690054 Cardoso do Galho / CE",122.613.922-63,07/06/1991
Isabel Barros,Oftalmologia,02/23/2018,(021) 0222-3561,"Praia Vieira, 75
Vila De Sá
35714590 da Cruz / SP",221.812.254-64,05/13/1994
Guilherme Fernandes,Endoscopia,12/09/2010,+55 (081) 7206-7268,"Travessa Vitória da Costa
Teixeira Dias
23915-176 da Mata dos Dourados / ES",272.664.617-50,03/06/1991
Davi Ribeiro,Cardiologia,09/26/2017,+55 (041) 0468-7359,"Campo Santos, 7
Guaratã
72301-640 Dias Paulista / PR",388.484.707-77,06/21/1972
Theo Santos,Radioterapia,01/04/2014,+55 (021) 6470 5441,"Trevo Pedro Lopes
São Tomaz
94302-218 Araújo / RN",904.185.716-83,03/25/1983
Noah Duarte,Pediatria,02/14/2019,(011) 5747-7479,"Alameda de Gomes, 1
Vila Nova Gameleira 3ª Seção
26977390 Campos da Prata / AM",733.312.211-15,05/02/1989
Gabrielly Souza,Neurologia,07/20/2017,+55 (031) 8137-3178,"Favela Davi Lucas Aragão, 5
Gameleira
18268615 Mendes / TO",236.185.170-63,01/26/1995
Eloah Viana,Alergia e imunologia,03/03/2014,,"Chácara Otávio Ribeiro, 552
Coqueiros
95575-836 Cavalcanti de Aragão / PI",336.162.657-62,04/29/1984
Bryan Barros,Dermatologia,04/13/2019,(041) 0410-6404,"Praça de Silva, 57
Paquetá
58934672 Fogaça / MT",925.206.425-65,03/28/1974
Isis Almeida,Radioterapia,07/21/2017,61 5914-9576,"Largo de das Neves, 6
Vila São Dimas
74867-314 Fogaça / BA",503.532.417-67,07/27/1980
Diego da Mota,Oftalmologia,07/05/2018,51 235 8070,"Campo de Costela, 3
São Jorge 2ª Seção
63656533 Monteiro / TO",794.381.333-92,07/15/1970
Guilherme Campos,Radioterapia,12/29/2018,+55 31 6381-6442,"Esplanada Mendes, 2
Bom Jesus
03077-223 Freitas / RR",890.356.234-97,11/24/1998
Nicolas Pinto,Cardiologia,02/05/2018,+55 (071) 1253-1608,"Estação de Carvalho, 426
Cônego Pinheiro 1ª Seção
68026435 Nogueira / MT",143.407.411-93,02/14/1983
André Barros,Alergia e imunologia,04/15/2014,+55 (021) 8215-5069,"Vereda Lucca Melo, 264
Vila Santo Antônio Barroquinha
97497-287 Mendes / MS",222.847.420-10,02-09-1979
Sr. Diogo da Paz,Cirurgia geral,07/11/2012,(084) 6997-6080,"Recanto de Souza, 35
Santa Margarida
50690233 Santos / PE",217.171.749-38,03/02/1993
Erick Melo,Endoscopia,11/12/2015,61 6413 6036,"Viela de Viana
Xangri-Lá
25501876 Pinto de Campos / BA",567.727.935-81,12/12/1991
Gustavo Henrique Porto,Pediatria,12/27/2017,71 5921-3195,"Trevo de da Paz, 6
Carlos Prates
91173-989 Nunes das Pedras / AC",316.952.132-62,07/03/1972
Eduardo Viana,Neurologia,07/28/2014,+55 41 4176-8030,"Área de Porto
Ermelinda
50168098 Dias / ES",486.713.374-77,05/01/1986
Noah Campos,Alergia e imunologia,07/18/2016,+55 81 7421-3032,"Via Azevedo
Vila Nova Gameleira 2ª Seção
26137249 Mendes / RS",584.882.838-70,12/17/1970
Lucas da Costa,Cirurgia geral,07/02/2014,+55 (021) 4397-4660,"Trevo de Souza
Vila Mantiqueira
17552615 Rodrigues de Minas / RN",393.620.910-21,04/16/1996
Letícia Nunes,Radioterapia,03/11/2015,+55 (084) 4149 4366,"Largo Kaique Farias, 13
Jardim Montanhês
30194-775 Silva da Serra / SC",318.390.164-97,05/03/1995
Vitória Alves,Oftalmologia,04/08/2017,+55 51 416 1158,"Jardim Costa, 7
Itapoa
73656-821 Costela / RS",269.982.807-58,01/02/1987
Maria Vitória Fernandes,Cardiologia,10/03/2016,+55 (061) 7240-8581,"Aeroporto de Aragão, 7
São Sebastião
03842-183 Viana de Lima / MS",968.783.656-41,09/03/1994
Dr. Lucas Gabriel Peixoto,Medicina do trabalho,05/15/2016,+55 81 2441-3563,"Pátio Camila Duarte, 576
Aparecida 7ª Seção
73289-989 Duarte / RR",240.714.833-18,10/24/1989
Nathan Cavalcanti,Endoscopia,09/28/2011,61 0050-3404,"Recanto de Jesus, 27
Comiteco
73399-459 Caldeira da Serra / PB",136.985.276-21,02/10/1995
Maria da Rocha,Acupuntura,08/02/2016,+55 (061) 0955 1324,"Viela Moura, 772
Vila Engenho Nogueira
97607-504 Ramos dos Dourados / GO",604.843.322-85,09/18/1970
Srta. Stella Gonçalves,Cirurgia geral,08/18/2019,+55 (071) 3134-2910,"Sítio Ana Carolina Ferreira, 445
Vila Suzana Primeira Seção
61351425 Melo / MT",834.664.362-71,03/06/1996
Maria Cecília Pereira,Cardiologia,09/04/2011,(084) 7399-9192,"Chácara Davi Nascimento
Vila Antena Montanhês
18052847 Dias / TO",647.246.588-71,12/29/1972
Sophie Barbosa,Alergia e imunologia,07/05/2017,(084) 5275-6971,"Trevo Gustavo Fogaça
Gameleira
52022373 Fernandes / MS",723.948.198-76,08/22/1979
Henrique Lima,Oftalmologia,07/01/2014,84 4606-0464,"Largo de Costela, 90
Funcionários
23721359 Rezende de Araújo / RR",821.465.681-76,06/06/1988
Beatriz Souza,Radioterapia,10/30/2017,+55 41 9445-6918,"Condomínio Isadora Pinto, 86
Vila Jardim São José
36031-177 Silveira de Minas / AL",741.129.704-90,10/17/1971
Dr. Alexandre da Paz,Medicina do trabalho,04/20/2011,+55 11 1370 1906,"Travessa de Pires, 913
Vila Da Amizade
99187291 Mendes de Goiás / PI",181.247.286-97,05/04/1972
Luiza Mendes,Cirurgia geral,08/22/2010,+55 71 0912 2935,"Distrito da Cunha, 77
Vila Santa Monica 2ª Seção
50436-799 Vieira do Sul / SC",102.378.567-32,06/22/1996
Sr. Breno Moura,Cirurgia geral,07/05/2015,71 7605-9932,"Esplanada Barros, 10
Belvedere
80726-732 da Conceição / DF",190.394.747-59,11/23/1976
Emilly da Luz,Dermatologia,10/20/2011,+55 (031) 1598-2394,"Conjunto Anthony Vieira
Mirtes
10787-535 Alves / TO",532.797.357-98,11/28/1984
Maria Clara Barros,Acupuntura,10/14/2010,+55 (041) 7731-5417,"Rua de Gonçalves, 99
Vila Nova Cachoeirinha 1ª Seção
99301983 Azevedo / PB",119.237.106-33,09/26/1989
Isis Melo,Cardiologia,10/07/2010,+55 11 4376-8647,"Lagoa de Lima
Vila Mangueiras
46978-215 Ferreira do Sul / SC",289.452.503-51,01/01/1993
Stephany Nogueira,Pediatria,05/01/2019,+55 11 0697-1977,"Trevo de Oliveira, 42
Savassi
29454-870 Santos do Oeste / SE",408.124.849-88,06-29-1995
Srta. Sarah Fogaça,Acupuntura,08/13/2013,+55 (061) 4567 4472,"Trecho Lopes, 30
Padre Eustáquio
46266-301 Castro - RJ",540.703.163-78,10/06/1979
Valentina Campos,Cardiologia,10/16/2013,(041) 1493-6474,"Praia Amanda Castro
Coração De Jesus
14364327 Costela do Norte / AM",337.817.753-32,05/14/2000
Anthony Cunha,Cirurgia geral,05/06/2013,+55 (071) 2500-6394,"Conjunto de Correia, 25
Flavio Marques Lisboa
58932-254 Souza / AL",223.167.650-32,07/16/1982
Sr. Heitor Monteiro,Radioterapia,06/25/2012,11 0854-3882,"Trecho Bárbara Costela
Fazendinha
82825-826 Costa / AP",166.553.896-52,10/01/1999
Francisco Caldeira,Oftalmologia,07/16/2017,+55 (081) 5336 2943,"Morro Daniel Nunes, 56
São Francisco
48548-116 Cunha / CE",316.252.730-54,08/25/1975
Murilo Peixoto,Neurologia,05/13/2019,21 1437 5915,"Conjunto de Nogueira, 220
São Gabriel
53564231 Viana do Galho / AP",892.520.109-58,02/21/1979
Isaac Nogueira,Endoscopia,05/10/2014,51 138 0939,"Área Cardoso, 81
Vista Alegre
78275-748 Ferreira das Pedras / RR",489.238.846-47,03/28/1994
Dr. Benício da Cruz,Cardiologia,03/14/2019,+55 (061) 0398 4513,"Sítio Luiz Gustavo Ferreira
Santa Tereza
94643234 Barros / MG",732.355.921-58,10/17/1990
Caroline Viana,Pediatria,02/03/2011,81 0116-6781,"Praça Marcelo Jesus, 19
Mineirão
00558-731 Fernandes de Silva / DF",926.721.969-71,10/12/1975
Natália Moraes,Radioterapia,12/20/2014,+55 41 0173 0282,"Lago de da Mota
Miramar
92942291 da Luz / MG",552.947.170-11,09/09/1989
Enrico Dias,Cardiologia,05/01/2011,+55 21 5344-4167,"Rodovia Ana Júlia da Cruz, 5
São Damião
75713289 Barros / RO",712.679.534-24,08/30/1974
Luigi da Rocha,Dermatologia,11/04/2012,+55 (031) 6197 9998,"Rua Oliveira, 775
Vila Independencia 2ª Seção
50757-097 Almeida Grande / MG",239.807.114-61,04/29/1990
Eloah Costa,Radioterapia,06/17/2011,+55 (084) 9553-4070,"Área de Fogaça, 1
São Marcos
40242123 Correia de Almeida / AM",958.594.516-81,03/13/2000
Ana Luiza da Conceição,Alergia e imunologia,01/15/2014,+55 41 7196-3032,"Parque Carvalho, 63
Vila Copasa
35060-425 Campos de Novaes / PI",255.809.659-48,06/14/1987
Emanuella da Conceição,Acupuntura,01/16/2018,41 6627-1938,"Setor de Barbosa, 61
São Francisco
34834-536 da Luz Grande / BA",664.781.401-93,12/30/1975
Mirella da Paz,Cirurgia geral,10/14/2011,(021) 6383-3795,"Campo de Gonçalves, 291
Conjunto Santa Maria
18487-149 Porto / RN",441.453.245-55,04/02/1986
Gabriela Ramos,Endoscopia,11/01/2014,+55 (051) 7724-1942,"Setor Lima, 56
Santa Tereza
17028246 Viana do Campo / CE",618.418.891-33,06/12/1977
Luiz Gustavo da Rocha,Oftalmologia,09/21/2011,+55 (011) 7287 8207,"Vila de Araújo, 6
São Tomaz
12719213 Cunha das Flores / RJ",704.943.891-62,07/19/1975
Luiz Miguel das Neves,Cirurgia geral,11/23/2010,+55 84 6541-2845,"Praça de Viana
Ouro Minas
79285843 Cunha do Galho / DF",607.386.403-29,03/24/1992
Leandro Gomes,Cirurgia geral,08/07/2016,(021) 2192 1963,"Distrito Rodrigues, 86
Belvedere
48886386 Souza dos Dourados / SC",579.311.685-47,05/23/1980
Enzo Gabriel Monteiro,Cardiologia,07/28/2013,+55 (081) 5970 1448,"Alameda Ana Luiza Cunha, 91
Miramar
60224-523 Rocha / DF",270.962.573-52,08/29/1996
Rafael Costela,Radioterapia,02/04/2020,+55 21 2005-5524,"Recanto de Fernandes, 9
Pedreira Padro Lopes
28289795 Nunes / AP",562.471.923-89,11/20/1998
Eduardo Campos,Cardiologia,08/17/2012,21 3576 0815,"Setor Rodrigues, 68
Cardoso
00627018 Ramos / MT",272.639.875-41,05/06/1983
Ryan Nunes,Acupuntura,10/24/2013,(051) 7775-8410,"Jardim Alves, 2
Pirineus
43083408 da Cruz da Praia / MA",740.656.620-69,07/18/1988
Francisco Oliveira,Cardiologia,09/11/2019,+55 81 3907-4418,"Passarela de Santos, 287
Barreiro
44501-621 da Rosa de Moura / PA",458.118.810-12,03/26/1986
Luiz Miguel Dias,Dermatologia,03/08/2014,81 6025 8656,"Rodovia da Mata
Bonsucesso
28462558 Pereira / PB",828.429.965-48,02/09/1977
Clarice Ferreira,Alergia e imunologia,01/30/2017,+55 (061) 7457 4772,"Núcleo da Mota, 58
Penha
96091-228 Peixoto de Sales / TO",921.452.574-17,07/04/1999
Caio Teixeira,Endoscopia,01/24/2018,71 1325-1565,"Vila Duarte, 295
Casa Branca
87513-618 Lopes / PR",922.635.424-91,04/10/1977
Thomas Jesus,Cirurgia geral,09/14/2019,+55 (021) 2635-5778,"Residencial Emanuel da Paz, 32
Universo
72152535 Pereira / MT",222.948.326-19,10/22/1990
João Felipe Ribeiro,Dermatologia,10/29/2016,+55 (061) 2406 1929,"Setor Gomes, 59
Juliana
59601-510 Fernandes / AL",398.801.494-75,04/09/1983
Lucca Araújo,Endoscopia,07/03/2014,+55 (011) 5367-7373,"Ladeira Pires
Fazendinha
97011-072 Pinto das Pedras / PA",879.535.533-39,08/23/1986
Davi Mendes,Dermatologia,10/31/2010,(081) 3890 0169,"Parque Evelyn da Costa, 48
Vitoria
67450-339 Ferreira de da Mata / TO",666.437.526-75,03/05/1983
Agatha Silva,Dermatologia,01/12/2015,+55 21 1417 8551,"Viela de Cardoso, 766
Santo Antônio
63702-673 Moreira / SC",589.257.830-61,03/15/1979
Srta. Stephany Farias,Cirurgia geral,01/11/2019,(031) 8956-6543,"Favela Cunha, 12
Jonas Veiga
43861978 Moura / PB",175.662.271-77,11/25/1996
Srta. Juliana Duarte,Radioterapia,04/06/2011,+55 (011) 5722 0626,"Distrito Nogueira, 40
Serra Verde
69366091 Moura de Teixeira / MT",885.867.804-77,02/15/1997
Ana Luiza Duarte,Medicina do trabalho,01/25/2013,+55 (041) 3826 0620,"Viela da Mota, 71
Maria Tereza
63415199 Gomes Alegre / SP",624-233-424-37,10/12/1982
Emilly Araújo,Endoscopia,02/19/2017,+55 (031) 1406-2090,"Trevo Jesus, 51
Ouro Preto
79688659 Souza de Sales / MS",718.558.621-36,12/09/1995
Davi Lucca Fernandes,Oftalmologia,04/08/2017,51 782 6005,"Campo Caldeira, 95
Laranjeiras
33857-170 Azevedo / AC",891.154.935-94,10/03/1984
Pietro Correia,Endoscopia,05/06/2017,+55 11 0203-6097,"Feira Carolina Silveira
Ipe
22057595 da Cruz / PE",546.265.199-90,08/21/1986
Sofia Campos,Endoscopia,12/17/2011,(021) 0838-4778,"Praça de Fogaça, 67
São Damião
66347-384 da Mota / DF",347.818.532-85,02/03/1975
Francisco Castro,Cirurgia geral,11/17/2011,+55 31 9061-0768,"Favela de Silveira, 782
Vila Independencia 1ª Seção
07342-348 Araújo / PR",646.530.837-73,04/14/1973
Sophie Peixoto,Alergia e imunologia,11/01/2016,(011) 9673-0871,"Praça Vitor Hugo da Mata, 69
Outro
02293-754 Rodrigues Alegre / RR",713.989.298-43,07/13/1975
Caroline da Rosa,Endoscopia,05/30/2016,61 5159-9836,"Lagoa João Gabriel Moreira, 75
Vila Jardim Alvorada
14224-780 Costa / RS",362.881.993-13,01/30/1980
Sr. Benjamin da Mata,Endoscopia,06/03/2014,31 9219 2006,"Distrito Samuel Jesus
Vista Alegre
25975319 Souza de Souza / PA",193.747.422-75,05/10/1993
Sra. Cecília Novaes,Radioterapia,01/17/2011,+55 (021) 5271-8162,"Quadra de da Mota, 797
Rio Branco
71176485 Silveira dos Dourados / SE",685.780.910-74,01/04/1978
Fernando Caldeira,Pediatria,09/02/2017,+55 (011) 9167 9575,"Viaduto Fernanda Campos, 74
Vila União
17183-654 Alves de da Mata / RN",668.191.652-40,07/15/1987
Lívia Rocha,Pediatria,10/20/2010,+55 (071) 2392-4860,"Parque Emilly Porto, 16
Beija Flor
53490804 da Paz / BA",640.680.972-96,07/27/1970
Thiago Farias,Radioterapia,03/01/2012,+55 (031) 7143-6085,"Largo Ramos, 71
Guarani
00766956 Cunha de Aragão / RR",483.654.178-62,07/28/1980
João Costela,Alergia e imunologia,05/13/2014,+55 (061) 0120 6744,"Jardim Vitor Nascimento, 23
Jardim Leblon
88123953 Rezende da Prata / RO",848.578.996-58,08/07/1974
Sra. Maria Julia da Mata,Radioterapia,02/19/2017,+55 61 6902-3031,"Viaduto Jesus
Vila Das Oliveiras
48406319 Rocha / PA",917.595.402-11,06/11/1986
Levi da Cruz,Alergia e imunologia,12/06/2017,+55 31 7649-8554,"Condomínio Santos, 75
Santa Rita De Cássia
62696-387 da Costa de Minas / MA",985.415.599-84,11/10/1992
Clarice Ribeiro,Radioterapia,12/23/2012,(081) 9675-3427,"Estrada Sophie Lima, 5
Vila São João Batista
30523678 Moura / MG",729.804.383-83,10/19/1972
Ana Clara Moreira,Dermatologia,10/23/2011,+55 (011) 8983 8502,"Colônia Souza, 62
Vila União
27271-383 Sales / AP",313.193.809-44,05/09/1990
Isabelly Teixeira,Acupuntura,07/25/2019,+55 (084) 0728-1382,"Aeroporto de Dias, 14
Vila Santa Monica 2ª Seção
26521-437 Aragão dos Dourados / SP",513.788.579-38,01/03/1986
Dr. Luiz Fernando Lopes,Acupuntura,08/30/2012,+55 84 6903-0054,"Lago de Martins, 164
Universitário
69475-543 Moura do Norte / RS",600.693.790-63,05/18/1992
Enzo Fernandes,Pediatria,04/04/2014,(051) 7665-5320,"Praia de da Cruz, 82
Cidade Jardim Taquaril
62020-525 da Costa Grande / PA",817.948.423-63,06/11/1972
Maria Eduarda Mendes,Pediatria,12/09/2013,(061) 2670-7177,"Viela Vitor Sales, 24
Vila Real 1ª Seção
47040162 Rocha / MT",486.804.725-48,05/14/1971
Francisco da Cunha,Medicina do trabalho,02/02/2016,+55 31 1527-7595,"Sítio Nathan Aragão, 28
Pedreira Padro Lopes
03335439 Rocha / PE",872.219.261-90,01/08/1975
Mirella Pires,Endoscopia,08/24/2016,+55 81 4526-8606,"Pátio Martins
Esperança
65768-609 Melo / RR",911.742.230-46,11/07/1980
Bruno Ramos,Neurologia,09/29/2018,+55 61 3979-4592,"Loteamento Bruna Gonçalves, 571
Santa Cruz
10653-256 Gonçalves da Prata / SE",685.230.119-98,11/11/1970
Sr. Felipe Nunes,Oftalmologia,04/16/2015,+55 (084) 9819-9993,"Lago Rodrigues, 12
Saudade
64547-907 Fernandes / RO",138.346.494-32,12/13/1975
Nathan Barros,Endoscopia,01/20/2011,(021) 6125 5196,"Residencial Rocha, 35
Granja De Freitas
58432625 da Costa / PB",836.675.605-48,07/12/1975
Isabel Nascimento,Acupuntura,02/22/2020,+55 61 9401 8374,"Condomínio Pedro Miguel Nascimento, 36
São Jorge 3ª Seção
14106601 Moura / GO",773.762.500-13,10/22/1987
Gabrielly Rodrigues,Cardiologia,11/08/2011,+55 71 5599 5708,"Condomínio Ana Beatriz Duarte
Nossa Senhora Da Conceição
93016016 Cardoso do Sul - AM",600.572.665-14,01/02/1995
Igor da Mota,Medicina do trabalho,08/09/2013,11 8432-7374,"Trevo Amanda Aragão, 221
Eymard
39439-252 Sales do Sul / DF",336.688.640-77,12/08/1983
Sr. Luiz Felipe Ferreira,Acupuntura,01/15/2012,(021) 9864-1203,"Loteamento Maria Eduarda Almeida, 9
Floresta
73410029 Dias Grande / TO",180.188.558-64,02/02/1974
Heloísa Cardoso,Medicina do trabalho,02/09/2017,61 1959-0759,"Trevo de Santos, 11
Casa Branca
71444-851 Gonçalves / MG",178.527.383-33,02/18/1998
Maitê Costela,Cardiologia,01/17/2020,+55 21 2610 1616,"Praça Martins, 1
Conjunto Capitão Eduardo
71491986 Moraes / MA",685.267.254-78,05/13/1975
Davi Nogueira,Alergia e imunologia,05/04/2011,21 0120 6640,"Núcleo de da Costa
Alpes
71839737 da Mota / RN",326.467.642-86,11/23/1976
João Vitor Campos,Medicina do trabalho,10/06/2012,(041) 0259 5543,"Alameda de Freitas, 199
Vila Boa Vista
97512698 Pinto / AC",684.421.543-78,10/02/1984
Larissa Araújo,Neurologia,10/30/2011,(061) 3630-7750,"Lago Fernanda Carvalho, 47
São Gabriel
16068350 Monteiro da Praia / RJ",530.604.120-91,03/22/2000
Bianca Cunha,Endoscopia,09/29/2017,(021) 4883-7433,"Alameda Eduardo Moreira
Vila Independencia 2ª Seção
53365450 Araújo / CE",960.301.400-75,03/30/1996
Vicente Cunha,Radioterapia,12/28/2013,(051) 7686-5898,"Pátio Matheus Cavalcanti, 31
São Cristóvão
96831-452 Barbosa de da Mata / CE",639.296.449-84,02/02/1984
Sr. Pedro Henrique da Mota,Pediatria,07/11/2013,+55 31 1734 2298,"Rua Eduarda Ramos, 27
São Vicente
04224-412 Ramos do Amparo / BA",634.455.167-12,09/05/1977
Luna Azevedo,Cardiologia,08/28/2010,(021) 2256-1067,"Passarela Elisa Souza, 1
Vila Nova Gameleira 1ª Seção
02987-949 Teixeira / RS",803.122.778-92,09/02/1999
Beatriz da Mota,Medicina do trabalho,08/12/2012,+55 84 5191 5246,"Feira Melo, 2
Minas Caixa
83244605 Nogueira / PB",269.801.591-25,07/01/1975
Ana Vitória da Cruz,Cirurgia geral,03/04/2015,(041) 5169-8074,"Recanto Gomes, 58
Buritis
89774-626 Moraes / GO",370.522.714-63,06/29/1976
Elisa Aragão,Acupuntura,04/20/2012,(081) 9479 6156,"Estação Souza, 11
Vila Barragem Santa Lúcia
49564459 da Conceição / RO",197.898.299-36,05/02/1985
Isaac Teixeira,Endoscopia,01/07/2011,+55 (031) 9957 4604,"Morro de Pires
Boa Esperança
27471591 da Mota das Flores / CE",968.111.261-67,12/11/1993
Pedro Lucas Porto,Endoscopia,10/12/2017,(071) 3062-8824,"Área Fernandes, 98
Xangri-Lá
05514443 Gomes do Campo / RO",268.106.977-22,12/13/1996
Dr. Igor Fogaça,Radioterapia,10/23/2018,+55 31 8373-2545,"Praça Lavínia Silveira, 83
Nova America
32157-984 Moura do Galho / MS",453.763.822-18,07/20/1984
Sr. Vinicius Freitas,Pediatria,10/23/2010,(021) 3878-0265,"Largo de Peixoto, 67
Vila Jardim Montanhes
58863586 da Paz / AP",588.217.598-23,09/29/1980
Davi Lucca da Mata,Medicina do trabalho,07/24/2010,+55 71 6906 7672,"Residencial de da Luz, 78
Capitão Eduardo
00551794 Cardoso / RS",883.615.252-34,11/09/1985
Emilly Ribeiro,Pediatria,03/09/2012,(031) 8504-8475,"Residencial Viana, 39
Maria Tereza
17286892 Sales / MG",726.274.585-48,04/18/1998
Benjamin Jesus,Radioterapia,02/26/2020,+55 (084) 1488 9700,"Loteamento de Cardoso
Vila Minaslandia
25959994 Vieira / GO",620.564.393-74,07/26/1997
Dr. Enrico Souza,Neurologia,10/20/2016,(051) 8172-1086,"Praça Barros
Conjunto Jardim Filadélfia
78230665 da Mata da Serra / SP",873.551.722-97,02/15/1976
Sarah Correia,Neurologia,07/27/2016,(041) 4692-9731,"Jardim Sophie da Conceição, 19
Lajedo
23539-399 Costela Grande / MA",865.565.762-82,07/06/1971
Dra. Olivia Barros,Alergia e imunologia,12/16/2019,+55 (031) 1517-1642,"Trecho João Vitor Ramos, 233
Conjunto Novo Dom Bosco
36024-273 Viana / SE",903.721.564-98,08/20/1981
Isaac Alves,Oftalmologia,08/17/2012,+55 11 6325-1994,"Vila Leonardo da Costa, 492
Vila Mangueiras
91697-261 da Cunha / AL",636.964.334-88,04/14/1988
Maria Sophia Nascimento,Oftalmologia,03/04/2017,(031) 5885-1891,"Esplanada Joana Duarte, 7
Cabana Do Pai Tomás
06970879 Duarte / PA",888.253.612-27,11/06/1972
Srta. Maria Monteiro,Dermatologia,05/01/2014,+55 (041) 3943 0692,"Condomínio Ana Laura Cardoso, 56
Vitoria
52812478 Castro / RO",417.632.555-83,08/05/1997
Diogo Fernandes,Pediatria,06/23/2012,+55 61 4535 4267,"Chácara da Paz, 37
Jonas Veiga
46815-561 Farias Grande / AL",857.308.244-73,04/24/1976
Srta. Heloísa Lima,Dermatologia,10/12/2016,81 5451 3369,"Lago Teixeira, 54
Indaiá
40221-218 Viana / PA",515.722.750-74,01/03/1999
Francisco Ramos,Endoscopia,01/20/2014,(021) 7928-2310,"Área Martins, 1
Fazendinha
68785-765 da Rocha / PE",173.579.645-13,02/17/1971
Sra. Nicole Moraes,Radioterapia,11/22/2018,+55 (041) 5757-2514,"Vale Jesus, 86
Senhor Dos Passos
19823-990 Porto da Praia / RJ",193.308.178-62,11/09/1976
Ian Santos,Acupuntura,10/27/2019,+55 11 7525 6794,"Estação Santos
Caetano Furquim
21784-817 Nascimento da Praia / DF",258.294.312-69,12/19/1997
Pedro Henrique Cardoso,Alergia e imunologia,12/21/2011,(071) 1519 7112,"Esplanada Bryan Nunes, 7
Dom Joaquim
75647056 Rocha do Galho / ES",781.881.269-68,12/27/1971
Enzo Gabriel Cardoso,Endoscopia,04/12/2014,(031) 5997-3677,"Travessa de Mendes, 797
Santa Isabel
87997-632 Farias Verde / CE",235.842.879-22,12/29/1995
Dra. Joana das Neves,Pediatria,09/21/2010,(081) 7932 1463,"Vereda Martins, 13
Vitoria Da Conquista
53541-966 Pinto das Pedras / SP",426.373.324-48,01/29/1973
Dra. Ana Vitória Alves,Dermatologia,06/09/2011,+55 31 3080 2507,"Favela Danilo Costa, 8
Cabana Do Pai Tomás
65406-724 da Cruz / SE",918.635.540-52,12/06/1995
Agatha Correia,Cardiologia,08/01/2016,+55 41 3488-3223,"Área de Farias, 29
Floresta
62045-092 Peixoto / TO",549.776.921-76,11/24/1971
Gabrielly Barbosa,Acupuntura,12/08/2011,+55 (071) 9450-4005,"Colônia de Barros, 777
Carlos Prates
41401726 Araújo de da Luz / MT",480.126.549-75,03/06/1974
Isabel Carvalho,Cardiologia,11/02/2018,+55 (031) 0848-8119,"Distrito Emilly Fernandes, 49
Vista Do Sol
50924861 Martins da Praia / RN",754.292.928-36,02/15/1987
Ana Júlia Fernandes,Oftalmologia,12/13/2015,61 6280 4450,"Estação Ana Lívia Rodrigues, 70
Califórnia
14898-485 da Paz / SC",369.598.437-91,01/17/1979
Melissa Moraes,Cardiologia,12/20/2013,+55 21 5206 8589,"Lago Aragão, 90
Palmares
96891-739 Peixoto da Praia / AC",229.370.738-71,03/13/1990
Clarice Freitas,Endoscopia,10/27/2012,84 6049 3481,"Travessa de Santos, 42
Barão Homem De Melo 3ª Seção
84991101 Rocha de Castro / SE",152.295.223-72,04/30/1985
Sra. Stephany da Cunha,Oftalmologia,04/12/2017,81 4466 2245,"Núcleo Souza, 911
Planalto
10510-074 Pereira / BA",158-503-428-40,03/24/1984
Luna Lima,Acupuntura,05/11/2018,+55 (021) 7348-4003,"Aeroporto de Souza, 63
Primeiro De Maio
12204-884 Moreira / DF",983.614.730-34,06/09/1973
